Date,Time,Vehicle,Place,Reason,Position,Description,Datetime,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Latitude,Longitude,ts,hour,dow,is_weekend,is_wet,lat_bin,lon_bin,segment_id,is_speed_reason,SPI_smoothed
2023.07.09,17:00:00,Three Wheeler,Ranjurawa 49km,Slipped,"6.996191, 80.465492",Turn over,2023-07-09 17:00:00,22.9,87,0.2,6.4,6.996191,80.465492,2023-07-09 17:00:00,17,6,1,1,6.996,80.465,6.996_80.465,0,0.35071806500377933
2023.07.16,11:45:00,Motor Cycle,Hatton Road 57km,Slipped,"6.9693, 80.5131",Fell on curve,2023-07-16 11:45:00,25.0,85,0.4,11.9,6.9693,80.5131,2023-07-16 11:45:00,11,6,1,1,6.969,80.513,6.969_80.513,0,0.35071806500377933
2023.07.28,14:31:00,Three Wheeler,Ranjurawa Samantha Garaj,Slipped,"6.997515, 80.466968",Turn over,2023-07-28 14:31:00,26.1,78,0.1,11.3,6.997515,80.466968,2023-07-28 14:31:00,14,4,0,0,6.998,80.467,6.998_80.467,0,0.35071806500377933
2023.07.29,22:20:00,Three Wheeler,Ambagamuwa Temple,Excessive Speed,"7.0189, 80.4938",Hit cyclist,2023-07-29 22:20:00,21.3,93,0.0,4.8,7.0189,80.4938,2023-07-29 22:20:00,22,5,1,0,7.019,80.494,7.019_80.494,1,0.4256854256854257
2023.08.03,20:25:00,Three Wheeler,Diyagala 55km,,"6.976987, 80.503231",hit a man,2023-08-03 20:25:00,22.2,95,0.1,5.2,6.976987,80.503231,2023-08-03 20:25:00,20,3,0,0,6.977,80.503,6.977_80.503,0,0.35071806500377933
2023.08.11,15:55:00,Van,Kithulvila Hotel,Slipped,"6.9939, 80.4469",Turn over,2023-08-11 15:55:00,24.4,81,2.0,7.7,6.9939,80.4469,2023-08-11 15:55:00,15,4,0,1,6.994,80.447,6.994_80.447,0,0.3347763347763348
2023.08.24,08:30:00,Car,44km Mark On Ht-colombo Rd,Excessive Speed,"6.993788, 80.445966",Lost control,2023-08-24 08:30:00,24.1,80,0.0,8.4,6.993788,80.445966,2023-08-24 08:30:00,8,3,0,0,6.994,80.446,6.994_80.446,1,0.4256854256854257
2023.09.06,13:05:00,Bus,Diyagala 57/8 Culvert,Slipped,"6.978656, 80.503532",Skidded on wet road,2023-09-06 13:05:00,23.0,91,0.8,12.6,6.978656,80.503532,2023-09-06 13:05:00,13,2,0,1,6.979,80.504,6.979_80.504,0,0.3347763347763348
2023.09.19,16:40:00,Lorry,Ranjurawa 49/4 Culvert,Excessive Speed,"6.994455, 80.465674",Hit electricity pole,2023-09-19 16:40:00,22.4,96,0.2,6.1,6.994455,80.465674,2023-09-19 16:40:00,16,1,0,1,6.994,80.466,6.994_80.466,1,0.4256854256854257
2023.09.21,13:50:00,Car / Lorry,Ambagamuwa Temple,,"7.018978, 80.493822",accident,2023-09-21 13:50:00,26.1,75,0.4,10.8,7.018978,80.493822,2023-09-21 13:50:00,13,3,0,1,7.019,80.494,7.019_80.494,0,0.35071806500377933
2023.09.27,13:10:00,Motor Cycle,Pitawala Junction,Slipped,"6.994179, 80.449670",slipped due to rain,2023-09-27 13:10:00,22.3,93,3.2,11.6,6.994179,80.44967,2023-09-27 13:10:00,13,2,0,1,6.994,80.45,6.994_80.45,0,0.35071806500377933
2023.10.02,09:15:00,Motor Cycle,Ginigathena Temple,Slipped,"6.9887, 80.4948",Fell on wet road,2023-10-02 09:15:00,24.7,82,0.3,10.7,6.9887,80.4948,2023-10-02 09:15:00,9,0,0,1,6.989,80.495,6.989_80.495,0,0.35071806500377933
2023.11.06,12:40:00,Bus,Ginigathena Hospital,Slipped,"6.992444, 80.488624",bus sliiped and hit a lorry,2023-11-06 12:40:00,23.3,97,1.8,1.8,6.992444,80.488624,2023-11-06 12:40:00,12,0,0,1,6.992,80.489,6.992_80.489,0,0.38023088023088025
2023.11.15,12:30:00,Three Wheeler,Millagahamula 46/14 Culvert,Slipped,"6.991582, 80.456975",Turn over,2023-11-15 12:30:00,25.0,88,0.1,6.6,6.991582,80.456975,2023-11-15 12:30:00,12,2,0,0,6.992,80.457,6.992_80.457,0,0.35071806500377933
2023.11.19,14:00:00,Three Wheeler,Ambathalawa,,"6.961928, 80.505522",Turn over,2023-11-19 14:00:00,22.8,96,9.8,6.3,6.961928,80.505522,2023-11-19 14:00:00,14,6,1,1,6.962,80.506,6.962_80.506,0,0.35071806500377933
2023.11.22,19:45:00,Bus,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",hit pole,2023-11-22 19:45:00,21.7,100,1.2,5.8,6.9924,80.4886,2023-11-22 19:45:00,19,2,0,1,6.992,80.489,6.992_80.489,1,0.39833711262282695
2023.11.29,07:20:00,Lorry,Kadawala 55/19 Culvert,Mechanical Error,"6.977947, 80.505462",engine failure,2023-11-29 07:20:00,21.5,91,0.0,3.6,6.977947,80.505462,2023-11-29 07:20:00,7,2,0,0,6.978,80.505,6.978_80.505,0,0.35071806500377933
2023.12.06,14:35:00,Motor Cycle,Ambagamuwa Temple,Slipped,"7.0189, 80.4938",fell on curve,2023-12-06 14:35:00,24.8,89,0.2,7.6,7.0189,80.4938,2023-12-06 14:35:00,14,2,0,1,7.019,80.494,7.019_80.494,0,0.35071806500377933
2023.12.13,21:00:00,Van,Diyagala 56/8 Culvert,Excessive Speed,"6.979536, 80.503648",collision with lorry,2023-12-13 21:00:00,22.3,91,0.0,1.6,6.979536,80.503648,2023-12-13 21:00:00,21,2,0,0,6.98,80.504,6.98_80.504,1,0.39833711262282695
2023.12.18,13:25:00,Three Wheeler,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",hit pedestrian,2023-12-18 13:25:00,24.2,91,8.8,5.4,6.9924,80.4886,2023-12-18 13:25:00,13,0,0,1,6.992,80.489,6.992_80.489,1,0.39833711262282695
2023.12.20,09:25:00,Car,Pitawala Junction,Slipped,"6.9941, 80.4496",lost control,2023-12-20 09:25:00,24.9,84,0.0,5.7,6.9941,80.4496,2023-12-20 09:25:00,9,2,0,0,6.994,80.45,6.994_80.45,0,0.35071806500377933
2023.12.22,08:50:00,Bus,Ambagamuwa Temple,Slipped,"7.0189, 80.4938",skidded on rain,2023-12-22 08:50:00,24.1,77,0.0,5.4,7.0189,80.4938,2023-12-22 08:50:00,8,4,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2023.12.27,16:50:00,Three Wheeler,Ginigathena Bus Stand,Excessive Speed,"6.9954, 80.4918",hit pedestrian,2023-12-27 16:50:00,25.4,82,0.0,5.6,6.9954,80.4918,2023-12-27 16:50:00,16,2,0,0,6.995,80.492,6.995_80.492,1,0.39833711262282695
2023.12.28,16:15:00,Lorry,Kadawala 55/20 Culvert,Mechanical Failure,"6.977426, 80.506014",brake failure,2023-12-28 16:15:00,24.2,87,2.9,4.0,6.977426,80.506014,2023-12-28 16:15:00,16,3,0,1,6.977,80.506,6.977_80.506,0,0.35071806500377933
2024.01.01,07:30:00,Three Wheeler / Motor Cycle,Green View Hotel,,"6.990389, 80.490848",accident,2024-01-01 07:30:00,22.6,85,0.0,4.1,6.990389,80.490848,2024-01-01 07:30:00,7,0,0,0,6.99,80.491,6.99_80.491,0,0.35071806500377933
2024.01.26,12:20:00,Van,Hotel Breetas Garden,,"6.990621, 80.465391",Turn over,2024-01-26 12:20:00,26.5,66,0.0,6.0,6.990621,80.465391,2024-01-26 12:20:00,12,4,0,0,6.991,80.465,6.991_80.465,0,0.35071806500377933
2024.02.04,15:00:00,Three Wheeler,Millagahamula Dinuwara Stores,,"6.9894, 80.4561",Turn over,2024-02-04 15:00:00,25.3,82,0.3,6.9,6.9894,80.4561,2024-02-04 15:00:00,15,6,1,1,6.989,80.456,6.989_80.456,0,0.35071806500377933
2024.02.18,11:50:00,Bus / Van,Millagahamula 48km,,"6.989480, 80.464919",accident,2024-02-18 11:50:00,27.4,69,0.0,10.1,6.98948,80.464919,2024-02-18 11:50:00,11,6,1,0,6.989,80.465,6.989_80.465,0,0.35071806500377933
2024.02.26,08:10:00,Three Wheeler,Kadawalawaththa Kovil,,"6.994681, 80.483887",accident,2024-02-26 08:10:00,24.3,73,0.0,3.5,6.994681,80.483887,2024-02-26 08:10:00,8,0,0,0,6.995,80.484,6.995_80.484,0,0.35071806500377933
2024.03.05,10:00:00,Bus / Motor Cycle,Ginigathena - Avissawella 48km-49km,,"6.992187, 80.487858",accident,2024-03-05 10:00:00,28.0,51,0.0,7.4,6.992187,80.487858,2024-03-05 10:00:00,10,1,0,0,6.992,80.488,6.992_80.488,0,0.35071806500377933
2024.03.08,23:45:00,Three Wheeler,Ambagamuwa South,,"7.006447, 80.488581",Turn over,2024-03-08 23:45:00,21.0,86,0.0,3.3,7.006447,80.488581,2024-03-08 23:45:00,23,4,0,0,7.006,80.489,7.006_80.489,0,0.35071806500377933
2024.03.09,19:30:00,Three Wheeer,Ginigathena Hospital,,"6.992444, 80.488624",Turn over,2024-03-09 19:30:00,22.9,93,0.0,3.8,6.992444,80.488624,2024-03-09 19:30:00,19,5,1,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2024.03.16,10:00:00,Three Wheeler,Ginigathena Hospital,,"6.992444, 80.488624",hit a man,2024-03-16 10:00:00,29.1,51,0.0,5.9,6.992444,80.488624,2024-03-16 10:00:00,10,5,1,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2024.04.01,07:30:00,Lorry / Three Wheeler,Ranjurawa Prashan Hotel,,"6.997281, 80.466712",accident,2024-04-01 07:30:00,23.2,86,0.0,4.5,6.997281,80.466712,2024-04-01 07:30:00,7,0,0,0,6.997,80.467,6.997_80.467,0,0.35071806500377933
2024.04.03,09:45:00,Three Wheeler,Pareyiyagala,Slipped,"6.992298, 80.454162",accident,2024-04-03 09:45:00,26.6,76,0.0,5.2,6.992298,80.454162,2024-04-03 09:45:00,9,2,0,0,6.992,80.454,6.992_80.454,0,0.3347763347763348
2024.04.06,10:30:00,Three Wheeler,Kadawala School,,"6.977475, 80.503988",hit a woman,2024-04-06 10:30:00,28.2,64,0.0,6.1,6.977475,80.503988,2024-04-06 10:30:00,10,5,1,0,6.977,80.504,6.977_80.504,0,0.35071806500377933
2024.04.08,12:00:00,Motor Cycle,Ginigathena Bus Stand,,"6.9954, 80.4918",hit a man,2024-04-08 12:00:00,29.8,56,0.5,6.8,6.9954,80.4918,2024-04-08 12:00:00,12,0,0,1,6.995,80.492,6.995_80.492,0,0.3347763347763348
2024.04.09,13:55:00,Lorry / Three Wheeler,Weralugashandiya,,"6.9805, 80.4823",accident,2024-04-09 13:55:00,31.6,36,0.0,9.7,6.9805,80.4823,2024-04-09 13:55:00,13,1,0,0,6.98,80.482,6.98_80.482,0,0.35071806500377933
2024.04.17,11:30:00,Lorry / Three Wheeler,Hathlaha- Ginigathena Rd,,"6.996422, 80.465544",accident,2024-04-17 11:30:00,28.3,68,0.1,5.1,6.996422,80.465544,2024-04-17 11:30:00,11,2,0,0,6.996,80.466,6.996_80.466,0,0.35071806500377933
2024.04.19,10:10:00,Motor Cycle,"Pedestrian Cross, Peoples Bank, Ginigathena",Excessive Speed,"6.988917, 80.494430",hit a woman,2024-04-19 10:10:00,27.9,70,0.0,5.4,6.988917,80.49443,2024-04-19 10:10:00,10,4,0,0,6.989,80.494,6.989_80.494,1,0.39833711262282695
2024.04.28,15:50:00,Three Wheeler,Kadawala 55/11 Culvert,,"6.978646, 80.502325",Turn over,2024-04-28 15:50:00,26.1,84,0.1,7.4,6.978646,80.502325,2024-04-28 15:50:00,15,6,1,0,6.979,80.502,6.979_80.502,0,0.35071806500377933
2024.05.11,15:45:00,Car / Three Wheeler,Kadawala 56/3 Culvert,,"6.971698, 80.511317",accident,2024-05-11 15:45:00,25.3,80,2.8,5.4,6.971698,80.511317,2024-05-11 15:45:00,15,5,1,1,6.972,80.511,6.972_80.511,0,0.35071806500377933
2024.05.17,09:00:00,Three Wheel,Badupola 50km Marker,Excessive Speed,"6.9984, 80.4757",hit a electricity tower and turn over,2024-05-17 09:00:00,26.5,76,0.0,9.5,6.9984,80.4757,2024-05-17 09:00:00,9,4,0,0,6.998,80.476,6.998_80.476,1,0.39833711262282695
2024.06.11,07:30:00,Bus / Van,Diyagala 57/9 Culvert,,"6.955723, 80.527169",accident,2024-06-11 07:30:00,22.8,94,0.3,11.4,6.955723,80.527169,2024-06-11 07:30:00,7,1,0,1,6.956,80.527,6.956_80.527,0,0.35071806500377933
2024.07.08,23:00:00,Three Wheeler / Lorry,54/3 Kovil,,"6.987879, 80.496028",accident,2024-07-08 23:00:00,21.3,93,0.1,3.5,6.987879,80.496028,2024-07-08 23:00:00,23,0,0,0,6.988,80.496,6.988_80.496,0,0.35071806500377933
2024.08.04,15:30:00,Bus / Motor Cycle,Ginigathena-n.pitiy Rd #58/3 Culvert,,"7.019305, 80.4952",accident,2024-08-04 15:30:00,24.3,88,0.1,6.8,7.019305,80.4952,2024-08-04 15:30:00,15,6,1,0,7.019,80.495,7.019_80.495,0,0.35071806500377933
2024.08.16,12:30:00,Motor Cycle,Ginigathena Bus Stand,,"6.9954, 80.4918",Turn over,2024-08-16 12:30:00,23.9,94,2.0,11.8,6.9954,80.4918,2024-08-16 12:30:00,12,4,0,1,6.995,80.492,6.995_80.492,0,0.3347763347763348
2024.08.16,15:30:00,Bus / Three Wheeler,Ginigathena-n.pitiy Rd #11,,"7.018525, 80.494427",accident,2024-08-16 15:30:00,23.4,94,0.5,10.0,7.018525,80.494427,2024-08-16 15:30:00,15,4,0,1,7.019,80.494,7.019_80.494,0,0.3068783068783069
2024.08.16,15:30:00,Bus / Three Wheeler,Ginigathena-n.pitiy Rd #11,,"7.018525, 80.494427",accident,2024-08-16 15:30:00,23.4,94,0.5,10.0,7.018525,80.494427,2024-08-16 15:30:00,15,4,0,1,7.019,80.494,7.019_80.494,0,0.3068783068783069
2024.08.16,15:30:00,Bus / Three Wheeler,Ginigathena-n.pitiy Rd #11,,"7.018525, 80.494427",accident,2024-08-16 15:30:00,23.4,94,0.5,10.0,7.018525,80.494427,2024-08-16 15:30:00,15,4,0,1,7.019,80.494,7.019_80.494,0,0.3068783068783069
2024.08.16,15:30:00,Bus / Three Wheeler,Ginigathena-n.pitiy Rd #11,,"7.018525, 80.494427",accident,2024-08-16 15:30:00,23.4,94,0.5,10.0,7.018525,80.494427,2024-08-16 15:30:00,15,4,0,1,7.019,80.494,7.019_80.494,0,0.3068783068783069
2024.10.11,08:00:00,Car,Rampadeniya Temple,,"6.997546, 80.476889",plunged into a precipice,2024-10-11 08:00:00,21.8,94,4.5,11.9,6.997546,80.476889,2024-10-11 08:00:00,8,4,0,1,6.998,80.477,6.998_80.477,0,0.35071806500377933
2024.10.18,03:00:00,Car,Millagahamula 46/8 Culvert,Slipped,"6.990452, 80.459595",,2024-10-18 03:00:00,18.7,86,0.0,4.5,6.990452,80.459595,2024-10-18 03:00:00,3,4,0,0,6.99,80.46,6.99_80.46,0,0.35071806500377933
2024.10.19,07:00:00,Lorry,Gcc,Slipped,"6.985637, 80.493485",,2024-10-19 07:00:00,22.8,81,0.0,4.4,6.985637,80.493485,2024-10-19 07:00:00,7,5,1,0,6.986,80.493,6.986_80.493,0,0.35071806500377933
2024.11.03,22:00:00,Lorry / Three Wheeler,Rampadeniya School,,"6.999775, 80.473979",accident,2024-11-03 22:00:00,21.7,90,0.0,2.2,6.999775,80.473979,2024-11-03 22:00:00,22,6,1,0,7.0,80.474,7.0_80.474,0,0.35071806500377933
2024.11.15,14:20:00,Three Wheeler,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",hit a pedestrian,2024-11-15 14:20:00,22.6,95,11.8,5.9,6.9889,80.4921,2024-11-15 14:20:00,14,4,0,1,6.989,80.492,6.989_80.492,1,0.39833711262282695
2024.11.20,09:45:00,Bus,Miyora Hotel,Slipped,"6.9903, 80.4352",skidded on wet road,2024-11-20 09:45:00,24.8,82,0.0,6.7,6.9903,80.4352,2024-11-20 09:45:00,9,2,0,0,6.99,80.435,6.99_80.435,0,0.35071806500377933
2024.11.25,17:30:00,Lorry,Kadawala 56/5 Culvert,Mechanical Error,"6.979513, 80.503543",brake failure,2024-11-25 17:30:00,21.3,99,3.0,6.8,6.979513,80.503543,2024-11-25 17:30:00,17,0,0,1,6.98,80.504,6.98_80.504,0,0.35071806500377933
2024.12.01,08:10:00,Motor Cycle,Ambagamuwa 9/8 Culvert,Excessive Speed,"7.0190, 80.4938",collision with van,2024-12-01 08:10:00,22.8,89,0.0,9.9,7.019,80.4938,2024-12-01 08:10:00,8,6,1,0,7.019,80.494,7.019_80.494,1,0.39833711262282695
2024.12.05,20:15:00,Van,Millagahamula 47/2 Culvert,Slipped,"6.990531, 80.459648",Turn over,2024-12-05 20:15:00,21.0,94,0.0,1.1,6.990531,80.459648,2024-12-05 20:15:00,20,3,0,0,6.991,80.46,6.991_80.46,0,0.35071806500377933
2024.12.10,11:50:00,Three Wheeler,"Hatton-colombo Rd, 45km",Excessive Speed,"6.990598, 80.490651",hit a barrier,2024-12-10 11:50:00,27.2,54,0.0,6.2,6.990598,80.490651,2024-12-10 11:50:00,11,1,0,0,6.991,80.491,6.991_80.491,1,0.39833711262282695
2024.12.15,13:25:00,Car,Ginigathena Hospital Rd,Slipped,"6.9924, 80.4886",lost control on curve,2024-12-15 13:25:00,28.2,48,0.0,12.4,6.9924,80.4886,2024-12-15 13:25:00,13,6,1,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2024.12.20,16:40:00,Bus,Diyagala 57/8 Culvert,Excessive Speed,"6.978656, 80.503532",hit a parked vehicle,2024-12-20 16:40:00,22.6,92,0.5,3.6,6.978656,80.503532,2024-12-20 16:40:00,16,4,0,1,6.979,80.504,6.979_80.504,1,0.39833711262282695
2024.12.25,22:00:00,Lorry,Rampadeniya 51/12 Culvert,Slipped,"6.996108, 80.480100",plunged into ditch,2024-12-25 22:00:00,16.4,92,0.0,3.0,6.996108,80.4801,2024-12-25 22:00:00,22,2,0,0,6.996,80.48,6.996_80.48,0,0.35071806500377933
2025.01.02,07:15:00,Motor Cycle,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",collision with three-wheeler,2025-01-02 07:15:00,21.2,99,0.3,2.5,6.9985,80.4758,2025-01-02 07:15:00,7,3,0,1,6.998,80.476,6.998_80.476,1,0.39833711262282695
2025.01.08,12:30:00,Three Wheeler,Ambagamuwa Samurdi Bank,Slipped,"7.010875, 80.490356",Turn over,2025-01-08 12:30:00,27.2,60,0.0,6.1,7.010875,80.490356,2025-01-08 12:30:00,12,2,0,0,7.011,80.49,7.011_80.49,0,0.35071806500377933
2025.01.12,18:20:00,Van,Kadawala 55/14 Culvert,Excessive Speed,"6.976910, 80.503612",hit a cyclist,2025-01-12 18:20:00,21.1,97,0.1,0.5,6.97691,80.503612,2025-01-12 18:20:00,18,6,1,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.01.18,09:45:00,Car,Ginigathena Police Station,Slipped,"6.9890, 80.4941",skidded on oil spill,2025-01-18 09:45:00,25.8,70,0.0,4.0,6.989,80.4941,2025-01-18 09:45:00,9,5,1,0,6.989,80.494,6.989_80.494,0,0.35071806500377933
2025.01.22,14:10:00,Bus,Millagahamula 46/9 Culvert,Excessive Speed,"6.991424, 80.460627",out of control,2025-01-22 14:10:00,22.8,95,0.2,2.3,6.991424,80.460627,2025-01-22 14:10:00,14,2,0,1,6.991,80.461,6.991_80.461,1,0.39833711262282695
2025.01.28,10:30:00,Lorry,Pitawala Junction,Mechanical Error,"6.9942, 80.4497",engine failure,2025-01-28 10:30:00,24.6,67,0.0,4.7,6.9942,80.4497,2025-01-28 10:30:00,10,1,0,0,6.994,80.45,6.994_80.45,0,0.3347763347763348
2025.02.03,16:50:00,Three Wheeler,Ambagamuwa Temple Rd,Slipped,"7.0190, 80.4938",hit a pole,2025-02-03 16:50:00,25.9,63,0.0,6.8,7.019,80.4938,2025-02-03 16:50:00,16,0,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2025.02.08,21:15:00,Motor Cycle,Ginigathena Bus Stand,Excessive Speed,"6.9954, 80.4918",collision with pedestrian,2025-02-08 21:15:00,16.3,94,0.0,7.3,6.9954,80.4918,2025-02-08 21:15:00,21,5,1,0,6.995,80.492,6.995_80.492,1,0.39833711262282695
2025.02.14,08:40:00,Van,Kadawala School,Slipped,"6.9775, 80.5040",Turn over,2025-02-14 08:40:00,21.9,68,0.0,1.0,6.9775,80.504,2025-02-14 08:40:00,8,4,0,0,6.978,80.504,6.978_80.504,0,0.35071806500377933
2025.02.20,13:55:00,Car,Diyagala 56/4 Culvert,Excessive Speed,"6.977309, 80.503780",hit a tree,2025-02-20 13:55:00,29.3,47,0.0,6.9,6.977309,80.50378,2025-02-20 13:55:00,13,3,0,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.02.26,17:20:00,Bus,Millagahamula 48/6 Culvert,Slipped,"6.990705, 80.462151",skidded on gravel,2025-02-26 17:20:00,24.3,81,0.2,5.1,6.990705,80.462151,2025-02-26 17:20:00,17,2,0,1,6.991,80.462,6.991_80.462,0,0.35071806500377933
2025.03.04,10:45:00,Lorry,Ambagamuwa 9/9 Culvert,Mechanical Error,"7.019383, 80.497491",brake failure,2025-03-04 10:45:00,28.3,55,0.0,6.2,7.019383,80.497491,2025-03-04 10:45:00,10,1,0,0,7.019,80.497,7.019_80.497,0,0.35071806500377933
2025.03.10,19:30:00,Three Wheeler,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",hit a cart,2025-03-10 19:30:00,22.6,97,0.0,0.5,6.9889,80.4921,2025-03-10 19:30:00,19,0,0,0,6.989,80.492,6.989_80.492,1,0.39833711262282695
2025.03.16,07:50:00,Motor Cycle,Badupola 50km Marker,Slipped,"6.9985, 80.4758",fell on wet road,2025-03-16 07:50:00,21.6,94,0.0,2.1,6.9985,80.4758,2025-03-16 07:50:00,7,6,1,0,6.998,80.476,6.998_80.476,0,0.35071806500377933
2025.03.22,12:15:00,Van,Kadawala 55/15 Culvert,Excessive Speed,"6.977464, 80.503956",collision with bike,2025-03-22 12:15:00,27.4,69,0.1,3.8,6.977464,80.503956,2025-03-22 12:15:00,12,5,1,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.03.28,15:40:00,Car,Ginigathena Hospital,Slipped,"6.9924, 80.4886",lost control,2025-03-28 15:40:00,28.3,51,0.0,4.6,6.9924,80.4886,2025-03-28 15:40:00,15,4,0,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
