ts,Date,Time,Latitude,Longitude,lat_bin,lon_bin,segment_id,Vehicle,Place,Position,Reason,Description,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),hour,dow,is_weekend,is_wet,is_speed_reason,SPI_smoothed
2020-01-06 08:00:00,2020.01.06,08:00:00,6.997421,80.477024,6.997,80.477,6.997_80.477,Car,Rampadeniya 51/6 Culvert,"6.997421, 80.477024",Slipped,Turn over,23.6,67,0.0,2.9,8,0,0,0,0,0.35071806500377933
2020-01-07 14:30:00,2020.01.07,14:30:00,6.990092,80.456055,6.99,80.456,6.99_80.456,Lorry,Millagahamula,"6.990092, 80.456055",Mechanical Error,hit a electricity tower,25.8,74,0.7,6.9,14,1,0,1,0,0.35071806500377933
2020-01-10 20:05:00,2020.01.10,20:05:00,6.955723,80.527169,6.956,80.527,6.956_80.527,Bus,Diyagala 57/9 Culvert,"6.955723, 80.527169",Excessive Speed,hit a fence,20.9,95,0.0,5.1,20,4,0,0,1,0.39833711262282695
2020-01-14 08:15:00,2020.01.14,08:15:00,6.969302,80.513117,6.969,80.513,6.969_80.513,Bus,57km Mark In Hatton Road,"6.969302, 80.513117",Excessive Speed,accident,22.9,66,0.0,2.9,8,1,0,0,1,0.39833711262282695
2020-01-18 06:05:00,2020.01.18,06:05:00,6.991344,80.460638,6.991,80.461,6.991_80.461,Van / Motor Cycle,Millagahamula 48/4 Culvert,"6.991344, 80.460638",Slipped,Turn over,19.4,86,0.0,4.1,6,5,1,0,0,0.35071806500377933
2020-01-19 12:35:00,2020.01.19,12:35:00,6.9924,80.4886,6.992,80.489,6.992_80.489,Bus,Ginigathena Hospital,"6.9924, 80.4886",Excessive Speed,Hit ambulance,27.1,73,0.2,12.5,12,6,1,1,1,0.38023088023088025
2020-01-22 09:30:00,2020.01.22,09:30:00,6.995617,80.479441,6.996,80.479,6.996_80.479,Cab,Pahalakadawala 51/1 Culvert,"6.995617, 80.479441",Slipped,cab/three wheeler,25.6,79,0.4,3.1,9,2,0,1,0,0.35071806500377933
2020-01-23 09:30:00,2020.01.23,09:30:00,6.996108,80.480101,6.996,80.48,6.996_80.48,Lorry,Rampadeniya 51/13 Culvert,"6.996108, 80.480101",Slipped,Turn over,25.3,83,0.2,6.9,9,3,0,1,0,0.35071806500377933
2020-02-01 17:10:00,2020.02.01,17:10:00,6.999472,80.490629,6.999,80.491,6.999_80.491,Lorry,Bagathuluwa 11/4 Culvert,"6.999472, 80.490629",Mechanical Error,Brake failure,25.5,66,0.0,4.3,17,5,1,0,0,0.35071806500377933
2020-02-06 14:55:00,2020.02.06,14:55:00,7.019,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0190, 80.4938",Excessive Speed,hit a pedestrian,28.7,49,0.0,6.1,14,3,0,0,1,0.39833711262282695
2020-02-14 10:45:00,2020.02.14,10:45:00,6.9913,80.4618,6.991,80.462,6.991_80.462,Motor Cycle,Millagahamula Bridge,"6.9913, 80.4618",Slipped,Fell on curve,24.4,80,0.0,7.3,10,4,0,0,0,0.35071806500377933
2020-02-19 18:20:00,2020.02.19,18:20:00,6.991582,80.461527,6.992,80.462,6.992_80.462,Motor Cycle,Millagahamula 47/3 Culvert,"6.991582, 80.461527",Slipped,fell on curve,23.6,77,0.0,6.3,18,2,0,0,0,0.35071806500377933
2020-02-27 21:20:00,2020.02.27,21:20:00,7.0189,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0189, 80.4938",Excessive Speed,Hit cyclist,21.8,93,0.1,4.0,21,3,0,0,1,0.39833711262282695
2020-03-04 11:45:00,2020.03.04,11:45:00,6.989,80.4941,6.989,80.494,6.989_80.494,Van,Ginigathena Police Station,"6.9890, 80.4941",Excessive Speed,collision with car,27.2,67,0.1,7.8,11,2,0,0,1,0.39833711262282695
2020-03-05 11:45:00,2020.03.05,11:45:00,6.9913,80.4618,6.991,80.462,6.991_80.462,Motor Cycle,Millagahamula Bridge,"6.9913, 80.4618",Slipped,Turn over,27.6,61,0.0,6.6,11,3,0,0,0,0.35071806500377933
2020-03-11 14:55:00,2020.03.11,14:55:00,6.9939,80.4469,6.994,80.447,6.994_80.447,Van,Kithulvila Hotel,"6.9939, 80.4469",Slipped,Turn over,27.9,64,0.1,7.3,14,2,0,0,0,0.35071806500377933
2020-03-17 16:10:00,2020.03.17,16:10:00,6.9775,80.504,6.978,80.504,6.978_80.504,Car,Kadawala School,"6.9775, 80.5040",Slipped,skidded on mud,25.1,85,0.0,7.4,16,1,0,0,0,0.35071806500377933
2020-03-17 16:45:00,2020.03.17,16:45:00,7.0189,80.4938,7.019,80.494,7.019_80.494,Three Wheeler / Foot Cycle,Ambagamuwa Temple,"7.0189, 80.4938",Excessive Speed,accident,25.1,85,0.0,7.4,16,1,0,0,1,0.39833711262282695
2020-03-20 18:40:00,2020.03.20,18:40:00,7.016803,80.492307,7.017,80.492,7.017_80.492,Car,Ambagamuwa 9/4 Culvert,"7.016803, 80.492307",Excessive Speed,Turn over,22.7,93,0.0,2.7,18,4,0,0,1,0.39833711262282695
2020-03-24 07:30:00,2020.03.24,07:30:00,6.993788,80.445966,6.994,80.446,6.994_80.446,Car,44km Mark On Ht-colombo Rd,"6.993788, 80.445966",Excessive Speed,Lost control,20.6,70,0.0,4.4,7,1,0,0,1,0.39833711262282695
2020-04-01 21:35:00,2020.04.01,21:35:00,6.9942,80.4497,6.994,80.45,6.994_80.45,Bus,Pitawala Junction,"6.9942, 80.4497",Excessive Speed,hit a barrier,21.5,86,0.0,3.4,21,2,0,0,1,0.39833711262282695
2020-04-06 16:05:00,2020.04.06,16:05:00,6.978656,80.503532,6.979,80.504,6.979_80.504,Bus,Diyagala 57/8 Culvert,"6.978656, 80.503532",Slipped,Skidded on wet road,25.2,88,0.1,4.7,16,0,0,0,0,0.35071806500377933
2020-04-14 08:00:00,2020.04.14,08:00:00,7.019,80.4938,7.019,80.494,7.019_80.494,Lorry,Ambagamuwa 9/8 Culvert,"7.0190, 80.4938",Mechanical Error,steering failure,25.0,83,0.0,3.9,8,1,0,0,0,0.35071806500377933
2020-04-16 12:00:00,2020.04.16,12:00:00,6.998272,80.467324,6.998,80.467,6.998_80.467,Three Wheeler / Lorry,Jeewani Motors,"6.998272, 80.467324",Mechanical Error,accident - 2 three wheelers,26.7,75,0.1,3.8,12,3,0,0,0,0.35071806500377933
2020-04-19 09:40:00,2020.04.19,09:40:00,6.994455,80.465674,6.994,80.466,6.994_80.466,Lorry,Ranjurawa 49/4 Culvert,"6.994455, 80.465674",Excessive Speed,Hit electricity pole,26.4,74,0.0,3.8,9,6,1,0,1,0.39833711262282695
2020-04-27 13:25:00,2020.04.27,13:25:00,6.9889,80.4921,6.989,80.492,6.989_80.492,Three Wheeler,Ginigathena Market,"6.9889, 80.4921",Slipped,Turn over,28.4,69,0.0,8.4,13,0,0,0,0,0.35071806500377933
2020-05-02 22:15:00,2020.05.02,22:15:00,6.9887,80.4948,6.989,80.495,6.989_80.495,Motor Cycle,Ginigathena Temple,"6.9887, 80.4948",Slipped,Fell on wet road,22.1,90,0.1,1.9,22,5,1,0,0,0.35071806500377933
2020-05-10 17:50:00,2020.05.10,17:50:00,6.9985,80.4758,6.998,80.476,6.998_80.476,Motor Cycle,Badupola 50km Marker,"6.9985, 80.4758",Excessive Speed,hit a dog,23.8,93,0.2,1.4,17,6,1,1,1,0.39833711262282695
2020-05-15 13:50:00,2020.05.15,13:50:00,6.9896,80.4917,6.99,80.492,6.99_80.492,Three Wheeler,Arogya Medical Center,"6.9896, 80.4917",Excessive Speed,Hit pedestrian,24.3,91,1.5,7.4,13,4,0,1,1,0.39833711262282695
2020-05-18 15:30:00,2020.05.18,15:30:00,6.993901,80.446952,6.994,80.447,6.994_80.447,Three Wheeler,Kithulvila Hotel,"6.993901, 80.446952",Excessive Speed,turn over,23.3,96,3.8,6.4,15,0,0,1,1,0.39833711262282695
2020-05-23 10:15:00,2020.05.23,10:15:00,6.977957,80.503856,6.978,80.504,6.978_80.504,Van,Diyagala 56/5 Culvert,"6.977957, 80.503856",Slipped,skidded on oil,25.0,93,0.2,6.3,10,5,1,1,0,0.35071806500377933
2020-05-28 18:25:00,2020.05.28,18:25:00,6.9945,80.4471,6.994,80.447,6.994_80.447,Van,Kalugala Maha Vidyalaya,"6.9945, 80.4471",Slipped,Turn over,22.3,96,0.1,8.4,18,3,0,0,0,0.35071806500377933
2020-06-05 19:40:00,2020.06.05,19:40:00,6.990058,80.463009,6.99,80.463,6.99_80.463,Car,Millagahamula 46/10 Culvert,"6.990058, 80.463009",Excessive Speed,out of control,22.2,93,0.0,5.9,19,4,0,0,1,0.39833711262282695
2020-06-10 11:00:00,2020.06.10,11:00:00,6.989994,80.457293,6.99,80.457,6.99_80.457,Car,Millagahamula 46/12 Culvert,"6.989994, 80.457293",Excessive Speed,Collision with lorry,24.5,85,1.0,8.9,11,2,0,1,1,0.39833711262282695
2020-06-18 07:05:00,2020.06.18,07:05:00,6.9924,80.4886,6.992,80.489,6.992_80.489,Bus,Ginigathena Hospital,"6.9924, 80.4886",Slipped,hit a pole,23.2,90,0.1,8.0,7,3,0,0,0,0.35071806500377933
2020-06-23 19:35:00,2020.06.23,19:35:00,6.9954,80.4918,6.995,80.492,6.995_80.492,Bus,Ginigathena Bus Stand,"6.9954, 80.4918",Slipped,Skidded on oil,22.3,96,0.0,3.3,19,1,0,0,0,0.35071806500377933
2020-07-01 12:30:00,2020.07.01,12:30:00,6.979477,80.503537,6.979,80.504,6.979_80.504,Lorry,Kadawala 55/16 Culvert,"6.979477, 80.503537",Mechanical Error,brake failure,25.2,86,0.7,9.4,12,2,0,1,0,0.35071806500377933
2020-07-06 08:10:00,2020.07.06,08:10:00,6.9985,80.4758,6.998,80.476,6.998_80.476,Lorry,Badupola 50km Marker,"6.9985, 80.4758",Mechanical Error,Engine failure,23.5,85,0.1,8.7,8,0,0,0,0,0.35071806500377933
2020-07-13 12:45:00,2020.07.13,12:45:00,6.990092,80.456055,6.99,80.456,6.99_80.456,Tipper /bus,Millagahamula,"6.990092, 80.456055",Excessive Speed,accident while overtaking,25.6,92,0.5,8.3,12,0,0,1,1,0.39833711262282695
2020-07-14 15:55:00,2020.07.14,15:55:00,7.019,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0190, 80.4938",Excessive Speed,hit a cyclist,24.9,83,0.2,12.0,15,1,0,1,1,0.39833711262282695
2020-07-19 12:45:00,2020.07.19,12:45:00,7.017119,80.492386,7.017,80.492,7.017_80.492,Motor Cycle,Ambagamuwa 9/5 Culvert,"7.017119, 80.492386",Excessive Speed,Hit three-wheeler,26.8,74,0.2,5.0,12,6,1,1,1,0.4256854256854257
2020-07-27 20:20:00,2020.07.27,20:20:00,6.9954,80.4918,6.995,80.492,6.995_80.492,Motor Cycle,Ginigathena Bus Stand,"6.9954, 80.4918",Slipped,fell on wet road,22.0,74,0.0,3.7,20,0,0,0,0,0.35071806500377933
2020-08-01 17:20:00,2020.08.01,17:20:00,6.9889,80.4921,6.989,80.492,6.989_80.492,Three Wheeler,Ginigathena Market,"6.9889, 80.4921",Slipped,Turn over,23.1,91,0.7,9.8,17,5,1,1,0,0.35071806500377933
2020-08-09 09:45:00,2020.08.09,09:45:00,6.996108,80.480102,6.996,80.48,6.996_80.48,Van,Rampadeniya 51/14 Culvert,"6.996108, 80.480102",Excessive Speed,collision with lorry,22.9,96,0.4,8.1,9,6,1,1,1,0.39833711262282695
2020-08-10 22:15:00,2020.08.10,22:15:00,6.979471,80.503557,6.979,80.504,6.979_80.504,Three Wheeler,Diyagala 57/7 Culvert,"6.979471, 80.503557",Slipped,out of control,21.1,91,0.0,4.1,22,0,0,0,0,0.35071806500377933
2020-08-14 10:55:00,2020.08.14,10:55:00,6.976911,80.50359,6.977,80.504,6.977_80.504,Van,Diyagala 56/2 Culvert,"6.976911, 80.503590",Excessive Speed,Lost control,24.1,82,0.3,12.1,10,4,0,1,1,0.4256854256854257
2020-08-18 17:30:00,2020.08.18,17:30:00,6.999472,80.490629,6.999,80.491,6.999_80.491,Three Wheeler,Bagathuluwa 11/4 Culvert,"6.999472, 80.490629",,,23.7,83,0.0,5.4,17,1,0,0,0,0.35071806500377933
2020-08-20 11:00:00,2020.08.20,11:00:00,6.993788,80.445966,6.994,80.446,6.994_80.446,Three Wheeler,44km Mark On Ht-colombo Rd,"6.993788, 80.445966","Slipped, Excessive Speed",out of control,25.1,79,0.1,9.1,11,3,0,0,1,0.39833711262282695
2020-08-22 14:10:00,2020.08.22,14:10:00,6.9942,80.4497,6.994,80.45,6.994_80.45,Car,Pitawala Junction,"6.9942, 80.4497",Slipped,lost control,25.4,81,0.6,10.6,14,5,1,1,0,0.35071806500377933
2020-08-27 21:30:00,2020.08.27,21:30:00,6.9961,80.48,6.996,80.48,6.996_80.48,Car,Rampadeniya 51/11 Culvert,"6.9961, 80.4800",Slipped,Skidded on gravel,20.6,97,0.0,4.2,21,3,0,0,0,0.35071806500377933
2020-09-04 18:35:00,2020.09.04,18:35:00,6.976686,80.506372,6.977,80.506,6.977_80.506,Bus,Diyagala 57/10 Culvert,"6.976686, 80.506372",Excessive Speed,hit a tree,23.1,88,0.0,4.4,18,4,0,0,1,0.39833711262282695
2020-09-09 14:05:00,2020.09.09,14:05:00,6.977741,80.503269,6.978,80.503,6.978_80.503,Bus,Kadawala 55/13 Culvert,"6.977741, 80.503269",Excessive Speed,Hit tree,21.5,95,4.0,9.2,14,2,0,1,1,0.4256854256854257
2020-09-13 16:30:00,2020.09.13,16:30:00,6.989008,80.494092,6.989,80.494,6.989_80.494,Car,Ginigathena Police Station,"6.989008, 80.494092",Excessive Speed,out of control,21.4,97,0.5,10.6,16,6,1,1,1,0.39833711262282695
2020-09-17 11:00:00,2020.09.17,11:00:00,6.989992,80.463073,6.99,80.463,6.99_80.463,Lorry,Millagahamula 48/7 Culvert,"6.989992, 80.463073",Slipped,Turn over,24.1,96,0.4,11.8,11,3,0,1,0,0.35071806500377933
2020-09-22 07:40:00,2020.09.22,07:40:00,6.9918,80.4571,6.992,80.457,6.992_80.457,Lorry,Millagahamula Wasana Hotel,"6.9918, 80.4571",Slipped,Turn over,21.4,98,0.6,5.9,7,1,0,1,0,0.35071806500377933
2020-09-30 16:25:00,2020.09.30,16:25:00,6.9889,80.4921,6.989,80.492,6.989_80.492,Three Wheeler,Ginigathena Market,"6.9889, 80.4921",Excessive Speed,hit a cart,21.9,94,0.3,10.7,16,2,0,1,1,0.39833711262282695
2020-10-05 08:55:00,2020.10.05,08:55:00,6.992444,80.488624,6.992,80.489,6.992_80.489,Van,Ginigathena Hospital,"6.992444, 80.488624",Mechanical Error,out of control,23.0,81,0.0,6.4,8,0,0,0,0,0.35071806500377933
2020-10-05 16:15:00,2020.10.05,16:15:00,7.010875,80.490356,7.011,80.49,7.011_80.49,Motor Cycle,Ambagamuwa Samurdi Bank,"7.010875, 80.490356",Excessive Speed,Collision with car,24.1,79,0.0,10.1,16,0,0,0,1,0.39833711262282695
2020-10-13 21:50:00,2020.10.13,21:50:00,6.9775,80.504,6.978,80.504,6.978_80.504,Motor Cycle,Kadawala School,"6.9775, 80.5040",Slipped,skidded on gravel,21.2,100,0.9,12.5,21,1,0,1,0,0.35071806500377933
2020-10-18 09:50:00,2020.10.18,09:50:00,6.989,80.494,6.989,80.494,6.989_80.494,Three Wheeler,Ginigathena Police Station,"6.9890, 80.4940",Slipped,Fell on wet road,23.5,81,0.1,7.1,9,6,1,0,0,0.3347763347763348
2020-10-26 08:15:00,2020.10.26,08:15:00,7.019,80.4938,7.019,80.494,7.019_80.494,Van,Ambagamuwa 9/8 Culvert,"7.0190, 80.4938",Excessive Speed,collision with bike,24.0,79,0.0,2.8,8,0,0,0,1,0.39833711262282695
2020-10-31 22:25:00,2020.10.31,22:25:00,6.9941,80.4496,6.994,80.45,6.994_80.45,Van,Pitawala Junction,"6.9941, 80.4496",Excessive Speed,Hit barrier,20.7,98,0.0,2.1,22,5,1,0,1,0.4256854256854257
2020-11-08 13:40:00,2020.11.08,13:40:00,6.989,80.4941,6.989,80.494,6.989_80.494,Car,Ginigathena Police Station,"6.9890, 80.4941",Slipped,lost control,24.3,86,13.8,8.7,13,6,1,1,0,0.35071806500377933
2020-11-12 18:10:00,2020.11.12,18:10:00,6.9985,80.4758,6.998,80.476,6.998_80.476,Motor Cycle,Badupola 50km Marker,"6.9985, 80.4758",Excessive Speed,out of control / accident three wheeler,22.8,91,0.1,1.1,18,3,0,0,1,0.39833711262282695
2020-11-13 15:00:00,2020.11.13,15:00:00,6.955723,80.527169,6.956,80.527,6.956_80.527,Car,Diyagala 57/9 Culvert,"6.955723, 80.527169",Slipped,Skidded on oil,23.6,99,1.3,2.5,15,4,0,1,0,0.3347763347763348
2020-11-16 11:45:00,2020.11.16,11:45:00,6.9774,80.5039,6.977,80.504,6.977_80.504,Motor Cycle,Kadawala Baduyir Hotel,"6.9774, 80.5039",Slipped,slipped when breaking,25.6,82,0.1,4.7,11,0,0,0,0,0.35071806500377933
2020-11-21 17:05:00,2020.11.21,17:05:00,6.9985,80.4758,6.998,80.476,6.998_80.476,Bus,Badupola 50km Marker,"6.9985, 80.4758",Excessive Speed,hit a fence,22.8,90,0.0,3.4,17,5,1,0,1,0.39833711262282695
2020-11-26 08:35:00,2020.11.26,08:35:00,7.0039,80.4899,7.004,80.49,7.004_80.49,Bus,Bagathuluwa Temple,"7.0039, 80.4899",Excessive Speed,Hit wall,23.9,79,0.0,8.4,8,3,0,0,1,0.4256854256854257
2020-12-04 10:30:00,2020.12.04,10:30:00,6.978387,80.50375,6.978,80.504,6.978_80.504,Lorry,Diyagala 56/6 Culvert,"6.978387, 80.503750",Mechanical Error,engine failure,24.0,91,0.3,7.1,10,4,0,1,0,0.35071806500377933
2020-12-09 13:10:00,2020.12.09,13:10:00,7.0193,80.4952,7.019,80.495,7.019_80.495,Lorry,Ambagamuwa Hot Roti Store,"7.0193, 80.4952",Slipped,Turn over,25.0,83,0.4,4.6,13,2,0,1,0,0.3347763347763348
2020-12-17 19:55:00,2020.12.17,19:55:00,7.019,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0190, 80.4938",Slipped,Turn over,21.9,89,0.0,0.8,19,3,0,0,0,0.35071806500377933
2020-12-20 16:15:00,2020.12.20,16:15:00,6.955723,80.527169,6.956,80.527,6.956_80.527,Motor Cycle,Diyagala 57/9 Culvert,"6.955723, 80.527169",Excessive Speed,accident with bowser,22.6,90,1.4,4.0,16,6,1,1,1,0.39833711262282695
2020-12-22 18:45:00,2020.12.22,18:45:00,6.9774,80.5039,6.977,80.504,6.977_80.504,Motor Cycle,Kadawala Baduyir Hotel,"6.9774, 80.5039",Excessive Speed,Collision with three-wheeler,21.7,93,0.8,2.8,18,1,0,1,1,0.4256854256854257
2020-12-28 08:15:00,2020.12.28,08:15:00,6.994563,80.447144,6.995,80.447,6.995_80.447,Truck,Kalugala Maha Vidyalaya,"6.994563, 80.447144",Excessive Speed,out of control,23.1,87,0.0,1.0,8,0,0,0,1,0.39833711262282695
2020-12-30 07:20:00,2020.12.30,07:20:00,6.990015,80.462886,6.99,80.463,6.99_80.463,Motor Cycle,Millagahamula 47/4 Culvert,"6.990015, 80.462886",Excessive Speed,hit a pedestrian,18.5,88,0.0,5.6,7,2,0,0,1,0.39833711262282695
2021-01-04 11:20:00,2021.01.04,11:20:00,6.9924,80.4886,6.992,80.489,6.992_80.489,Three Wheeler,Ginigathena Hospital,"6.9924, 80.4886",Slipped,Skidded on wet road,23.7,85,0.5,8.3,11,0,0,1,0,0.3347763347763348
