segment_id,lat_bin,lon_bin,hour,dow,is_wet,Vehicle,incident_count,speed_reason_rate,n,SPI_tile
6.956_80.527,6.956,80.527,7,1,1,Bus / Van,1,0.0,1,0.35071806500377933
6.956_80.527,6.956,80.527,15,4,1,Car,1,0.0,1,0.3347763347763348
6.956_80.527,6.956,80.527,15,5,1,Car,1,0.0,1,0.3347763347763348
6.956_80.527,6.956,80.527,16,6,1,Motor Cycle,1,1.0,1,0.39833711262282695
6.956_80.527,6.956,80.527,20,4,0,Bus,1,1.0,1,0.39833711262282695
6.962_80.506,6.962,80.506,14,6,1,Three Wheeler,1,0.0,1,0.35071806500377933
6.969_80.513,6.969,80.513,8,1,0,Bus,1,1.0,1,0.39833711262282695
6.969_80.513,6.969,80.513,11,6,1,Motor Cycle,1,0.0,1,0.35071806500377933
6.969_80.513,6.969,80.513,14,0,1,Bus,1,1.0,1,0.39833711262282695
6.972_80.511,6.972,80.511,7,1,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.972_80.511,6.972,80.511,15,5,1,Car / Three Wheeler,1,0.0,1,0.35071806500377933
6.976_80.508,6.976,80.508,11,3,0,Van,1,1.0,1,0.39833711262282695
6.977_80.503,6.977,80.503,20,3,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,10,4,1,Van,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,10,5,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,10,5,1,Van,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,11,0,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,12,5,0,Van,1,1.0,1,0.39833711262282695
6.977_80.504,6.977,80.504,13,3,0,Car,1,1.0,1,0.39833711262282695
6.977_80.504,6.977,80.504,15,5,1,Bus,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,15,6,1,Bus,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,16,0,0,Van,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,16,4,0,Bus,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,16,4,1,Van,1,0.0,1,0.35071806500377933
6.977_80.504,6.977,80.504,18,1,1,Motor Cycle,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,18,2,1,Motor Cycle,1,1.0,1,0.4256854256854257
6.977_80.504,6.977,80.504,18,6,0,Van,1,1.0,1,0.39833711262282695
6.977_80.506,6.977,80.506,8,0,0,Bus,1,1.0,1,0.39833711262282695
6.977_80.506,6.977,80.506,12,4,1,Lorry,1,0.0,1,0.35071806500377933
6.977_80.506,6.977,80.506,16,3,1,Lorry,1,0.0,1,0.35071806500377933
6.977_80.506,6.977,80.506,18,4,0,Bus,1,1.0,1,0.39833711262282695
6.978_80.459,6.978,80.459,7,1,1,Van,1,1.0,1,0.39833711262282695
6.978_80.459,6.978,80.459,7,2,0,Van,1,1.0,1,0.39833711262282695
6.978_80.459,6.978,80.459,9,5,0,Car,1,1.0,1,0.39833711262282695
6.978_80.459,6.978,80.459,20,0,1,Van,1,1.0,1,0.4256854256854257
6.978_80.459,6.978,80.459,20,6,1,Van,1,1.0,1,0.4256854256854257
6.978_80.503,6.978,80.503,5,4,0,Lorry,1,0.0,1,0.35071806500377933
6.978_80.503,6.978,80.503,14,2,1,Bus,1,1.0,1,0.4256854256854257
6.978_80.503,6.978,80.503,14,3,1,Bus,1,1.0,1,0.4256854256854257
6.978_80.504,6.978,80.504,8,4,0,Van,1,0.0,1,0.35071806500377933
6.978_80.504,6.978,80.504,10,4,1,Lorry,1,0.0,1,0.35071806500377933
6.978_80.504,6.978,80.504,10,5,1,Van,1,0.0,1,0.35071806500377933
6.978_80.504,6.978,80.504,16,1,0,Car,1,0.0,1,0.35071806500377933
6.978_80.504,6.978,80.504,20,6,0,Motor Cycle,1,1.0,1,0.39833711262282695
6.978_80.504,6.978,80.504,21,1,1,Motor Cycle,1,0.0,1,0.35071806500377933
6.978_80.505,6.978,80.505,7,2,0,Lorry,1,0.0,1,0.35071806500377933
6.978_80.505,6.978,80.505,8,0,0,Lorry,1,0.0,1,0.35071806500377933
6.979_80.502,6.979,80.502,13,2,1,Van,1,1.0,1,0.4256854256854257
6.979_80.502,6.979,80.502,13,3,1,Van,1,1.0,1,0.4256854256854257
6.979_80.502,6.979,80.502,15,6,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.979_80.502,6.979,80.502,16,0,1,Three Wheeler,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,7,2,0,Bus,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,9,0,0,Bus,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,9,6,1,Bus,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,12,2,1,Lorry,1,0.0,1,0.35071806500377933
6.979_80.504,6.979,80.504,13,1,1,Bus,1,0.0,1,0.3347763347763348
6.979_80.504,6.979,80.504,13,2,1,Bus,1,0.0,1,0.3347763347763348
6.979_80.504,6.979,80.504,15,1,0,Cab / Bus,1,0.0,1,0.35071806500377933
6.979_80.504,6.979,80.504,16,0,0,Bus,1,0.0,1,0.35071806500377933
6.979_80.504,6.979,80.504,16,0,0,Car,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,16,4,1,Bus,1,1.0,1,0.39833711262282695
6.979_80.504,6.979,80.504,22,0,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.984_80.498,6.984,80.498,11,6,0,Three Wheeler / Van,1,0.0,1,0.35071806500377933
6.984_80.5,6.984,80.5,13,3,0,Bus,1,0.0,1,0.35071806500377933
6.986_80.493,6.986,80.493,7,5,0,Lorry,1,0.0,1,0.35071806500377933
6.986_80.497,6.986,80.497,16,0,1,Lorry,1,0.0,1,0.35071806500377933
6.988_80.496,6.988,80.496,23,0,0,Three Wheeler / Lorry,1,0.0,1,0.35071806500377933
6.989_80.456,6.989,80.456,12,0,0,Van,1,1.0,1,0.4256854256854257
6.989_80.456,6.989,80.456,12,1,0,Van,1,1.0,1,0.4256854256854257
6.989_80.456,6.989,80.456,15,6,1,Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.465,6.989,80.465,11,6,0,Bus / Van,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,8,0,0,Motor Cycle / Lorry / Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,8,0,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,13,0,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,14,4,1,Three Wheeler,1,1.0,1,0.39833711262282695
6.989_80.492,6.989,80.492,15,0,1,Three Wheeler,1,0.0,1,0.38023088023088025
6.989_80.492,6.989,80.492,15,4,1,Motor Cycle,1,1.0,1,0.4256854256854257
6.989_80.492,6.989,80.492,15,4,1,Three Wheeler,1,1.0,1,0.38023088023088025
6.989_80.492,6.989,80.492,15,5,1,Motor Cycle,1,1.0,1,0.4256854256854257
6.989_80.492,6.989,80.492,16,2,1,Three Wheeler,1,1.0,1,0.39833711262282695
6.989_80.492,6.989,80.492,17,5,1,Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,17,6,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.989_80.492,6.989,80.492,19,0,0,Three Wheeler,1,1.0,1,0.39833711262282695
6.989_80.493,6.989,80.493,10,5,1,Three Wheeler,1,1.0,1,0.39833711262282695
6.989_80.494,6.989,80.494,5,0,0,Car,1,0.0,1,0.3347763347763348
6.989_80.494,6.989,80.494,5,6,0,Car,1,0.0,1,0.3347763347763348
6.989_80.494,6.989,80.494,9,0,0,Three Wheeler,1,0.0,1,0.3347763347763348
6.989_80.494,6.989,80.494,9,5,0,Car,1,0.0,1,0.35071806500377933
6.989_80.494,6.989,80.494,9,6,0,Three Wheeler,1,0.0,1,0.3347763347763348
6.989_80.494,6.989,80.494,10,4,0,Motor Cycle,1,1.0,1,0.39833711262282695
6.989_80.494,6.989,80.494,11,2,0,Van,1,1.0,1,0.39833711262282695
6.989_80.494,6.989,80.494,13,6,1,Car,1,0.0,1,0.35071806500377933
6.989_80.494,6.989,80.494,16,6,1,Car,1,1.0,1,0.39833711262282695
6.989_80.495,6.989,80.495,9,0,1,Motor Cycle,1,0.0,1,0.35071806500377933
6.989_80.495,6.989,80.495,9,6,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.989_80.495,6.989,80.495,14,6,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.989_80.495,6.989,80.495,20,4,0,Car,1,0.0,1,0.35071806500377933
6.989_80.495,6.989,80.495,22,5,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.98_80.482,6.98,80.482,10,2,0,Motor Cycle,1,1.0,1,0.4256854256854257
6.98_80.482,6.98,80.482,10,3,0,Motor Cycle,1,1.0,1,0.4256854256854257
6.98_80.482,6.98,80.482,13,1,0,Lorry / Three Wheeler,1,0.0,1,0.35071806500377933
6.98_80.504,6.98,80.504,17,0,1,Lorry,1,0.0,1,0.35071806500377933
6.98_80.504,6.98,80.504,21,2,0,Van,1,1.0,1,0.39833711262282695
6.991_80.46,6.991,80.46,20,3,0,Van,1,0.0,1,0.35071806500377933
6.991_80.461,6.991,80.461,6,5,0,Van / Motor Cycle,1,0.0,1,0.35071806500377933
6.991_80.461,6.991,80.461,14,2,1,Bus,1,1.0,1,0.39833711262282695
6.991_80.461,6.991,80.461,22,5,0,Lorry,1,0.0,1,0.3347763347763348
6.991_80.461,6.991,80.461,22,6,0,Lorry,1,0.0,1,0.3347763347763348
6.991_80.462,6.991,80.462,9,5,0,Car,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,9,6,1,Car,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,10,4,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,11,3,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,14,0,0,Bus,1,1.0,1,0.39833711262282695
6.991_80.462,6.991,80.462,17,2,1,Bus,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,17,5,1,Three Wheeler,1,0.0,1,0.35071806500377933
6.991_80.462,6.991,80.462,18,0,0,Lorry,1,0.0,1,0.35071806500377933
6.991_80.465,6.991,80.465,12,4,0,Van,1,0.0,1,0.35071806500377933
6.991_80.491,6.991,80.491,11,1,0,Three Wheeler,1,1.0,1,0.39833711262282695
6.992_80.446,6.992,80.446,8,4,1,Lorry,1,0.0,1,0.35071806500377933
6.992_80.446,6.992,80.446,8,5,0,Lorry,1,0.0,1,0.35071806500377933
6.992_80.454,6.992,80.454,9,0,0,Three Wheeler,1,0.0,1,0.3347763347763348
6.992_80.454,6.992,80.454,9,2,0,Three Wheeler,1,0.0,1,0.3347763347763348
6.992_80.457,6.992,80.457,1,2,0,Car,1,0.0,1,0.35071806500377933
6.992_80.457,6.992,80.457,7,1,1,Lorry,1,0.0,1,0.35071806500377933
6.992_80.457,6.992,80.457,7,2,0,Lorry,1,0.0,1,0.35071806500377933
6.992_80.457,6.992,80.457,12,2,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.992_80.457,6.992,80.457,16,0,1,Three Wheeler / Lorry,1,1.0,1,0.39833711262282695
6.992_80.462,6.992,80.462,18,2,0,Motor Cycle,1,0.0,1,0.35071806500377933
6.992_80.465,6.992,80.465,23,5,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.992_80.488,6.992,80.488,10,1,0,Bus / Motor Cycle,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,7,3,0,Bus,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,8,0,0,Van,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,10,0,0,Bus,1,1.0,1,0.39833711262282695
6.992_80.489,6.992,80.489,10,1,1,Bus,1,1.0,1,0.39833711262282695
6.992_80.489,6.992,80.489,10,5,0,Three Wheeler,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,11,0,1,Three Wheeler,1,0.0,1,0.3347763347763348
6.992_80.489,6.992,80.489,11,1,1,Three Wheeler,1,0.0,1,0.3347763347763348
6.992_80.489,6.992,80.489,12,0,1,Bus,1,0.0,1,0.38023088023088025
6.992_80.489,6.992,80.489,12,1,1,Van,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,12,6,1,Bus,1,1.0,1,0.38023088023088025
6.992_80.489,6.992,80.489,13,0,1,Three Wheeler,1,1.0,1,0.39833711262282695
6.992_80.489,6.992,80.489,13,6,0,Car,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,15,4,0,Car,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,17,0,0,Motor Cycle,1,1.0,1,0.39833711262282695
6.992_80.489,6.992,80.489,19,2,1,Bus,1,1.0,1,0.39833711262282695
6.992_80.489,6.992,80.489,19,5,0,Three Wheeer,1,0.0,1,0.35071806500377933
6.992_80.489,6.992,80.489,21,1,0,Bus,1,1.0,1,0.39833711262282695
6.993_80.452,6.993,80.452,17,5,0,Bus,4,0.0,4,0.3068783068783069
6.993_80.452,6.993,80.452,21,2,0,Lorry,1,0.0,1,0.35071806500377933
6.994_80.446,6.994,80.446,7,1,0,Car,1,1.0,1,0.39833711262282695
6.994_80.446,6.994,80.446,8,2,0,Car,1,1.0,1,0.4256854256854257
6.994_80.446,6.994,80.446,8,3,0,Car,1,1.0,1,0.4256854256854257
6.994_80.446,6.994,80.446,11,3,0,Three Wheeler,1,1.0,1,0.39833711262282695
6.994_80.447,6.994,80.447,10,0,0,Three Wheeler,1,0.0,1,0.35071806500377933
